candidate_id,benefit_gain,curvature_gain,interference_gain,step_size,group_count,scaled_group_count,restored_group_count,max_predicted_relative_delta,p99_predicted_relative_delta,hard_cap_violation_count,nonbase_mass_retention,route_mass_weighted_predicted_delta,risk_weighted_predicted_delta,benefit_weighted_scale,mean_mechanistic_loss_proxy,mean_scale,min_scale,high_benefit_low_risk_group_count,high_benefit_low_risk_mean_scale,high_interference_low_benefit_group_count,high_interference_low_benefit_mean_scale,high_subspace_group_count,high_subspace_mean_scale,mechanistic_objective,passes_hard_cap
s0.08_b1.65_h0.75_i0.75,1.65,0.75,0.75,0.08,5243,4736,220,0.649,0.6413990981274804,0,0.9650345047849123,0.21505867948747023,0.23042348145965702,0.9755580310182397,0.029014011249069258,0.9620790367583869,0.4306440943988023,186,0.8652025247967287,314,0.9665325562610788,1139,0.9376257848679225,0.18220851802618143,True
s0.04_b1.40_h1.00_i1.00,1.4,1.0,1.0,0.04,5243,5161,53,0.649,0.6285893450680355,0,0.9651765970290467,0.21516599055593752,0.2306838306334888,0.9756914050517661,0.029315276012151385,0.9656650838718808,0.4289485756386695,186,0.8553158898512372,314,0.977217163788202,1139,0.9454688617197682,0.18291343957566764,True
s0.04_b1.40_h0.75_i1.00,1.4,0.75,1.0,0.04,5243,5128,82,0.649,0.6303735452164039,0,0.9655283457695298,0.21524494871910319,0.2307697225810844,0.9759502002404302,0.02933414081301343,0.9658794699227325,0.43020479629118835,186,0.8568675857152974,314,0.9773992662553624,1139,0.9456737111745527,0.18302514131766362,True
s0.04_b1.15_h1.25_i0.75,1.15,1.25,0.75,0.04,5243,5194,18,0.6455662021623303,0.6268341304521505,0,0.9660215973641239,0.21535635321839347,0.2308919710249528,0.9767521010792319,0.029448508534575497,0.966777232655989,0.42748160363322124,186,0.8536039615499412,314,0.9785301951749341,1139,0.9466718276929865,0.183119115166493,True
s0.04_b1.40_h1.25_i1.00,1.4,1.25,1.0,0.04,5243,5190,29,0.6480537751696278,0.6273481644736493,0,0.9648575334428864,0.2150945244326036,0.23060585148550064,0.9754527279501702,0.02929748169840391,0.9654768990276037,0.4280252364335062,186,0.8540494603133046,314,0.9770439408826433,1139,0.9452908805931367,0.18316900493441207,True
s0.04_b1.65_h1.25_i1.00,1.65,1.25,1.0,0.04,5243,5130,59,0.649,0.6291804176677395,0,0.966502329013731,0.21545848982534646,0.23099830803858729,0.977106930933404,0.029448194085549422,0.966602538698234,0.4288998573235102,186,0.8561672311669619,314,0.9781537271157864,1139,0.9462302333487476,0.18322519137315743,True
s0.04_b1.15_h1.00_i0.75,1.15,1.0,0.75,0.04,5243,5167,37,0.6479450637521955,0.627943573614279,0,0.9664053740198946,0.21544252653120521,0.23098711412216275,0.9770444985011565,0.02947134981004607,0.9669974152908994,0.42838452855393305,186,0.8549068583623209,314,0.978760855864852,1139,0.9468841142519129,0.18324175633063333,True
s0.04_b1.65_h1.00_i1.00,1.65,1.0,1.0,0.04,5243,5098,86,0.649,0.6308746164409974,0,0.9668509691233245,0.21553694729631037,0.23108426822153344,0.9773656246433972,0.029467778063468605,0.9668123727937941,0.42995677628181755,186,0.8576008897009746,314,0.9783436759364689,1139,0.9464285333740022,0.18333734278547476,True
s0.04_b1.15_h0.75_i0.75,1.15,0.75,0.75,0.04,5243,5132,69,0.649,0.6295475327128051,0,0.966829946045716,0.21553808769549748,0.23109231821471218,0.9773619819723487,0.029495665862762394,0.9672496527297242,0.42964199283587323,186,0.8565338095937143,314,0.9790056936637798,1139,0.9471301567070792,0.18337868782943542,True
s0.04_b1.65_h0.75_i1.00,1.65,0.75,1.0,0.04,5243,5041,139,0.649,0.6321282738354054,0,0.9672381417052578,0.21562423074894999,0.23117949711911587,0.9776477183913683,0.029488593885187955,0.9670536204081792,0.4313947347439296,186,0.8593703472452899,314,0.9785433733084865,1139,0.9466572996266482,0.18346257301413124,True
