tensor,epoch,loss,route_kl,top1_loss,load_balance,capacity_loss,trust_l2,top1_agreement,topk_jaccard,capacity_overflow_fraction
model.layers.0.router.weight,1,0.4566325545310974,0.17522408068180084,1.1256338357925415,1.0070656538009644,0.0,0.0,0.7317708134651184,0.6571180555555556,0.0
model.layers.0.router.weight,10,0.27154117822647095,0.050466373562812805,0.8832991719245911,1.0154879093170166,0.0,0.2499999701976776,0.7786458134651184,0.7196180555555555,0.0
model.layers.0.router.weight,20,0.2719736397266388,0.050754595547914505,0.8838761448860168,1.0154187679290771,0.0,0.2499999701976776,0.7734375,0.7309027777777778,0.0
model.layers.0.router.weight,30,0.27221083641052246,0.05094574764370918,0.8840603232383728,1.0154253244400024,0.0,0.2499999701976776,0.7708333134651184,0.7309027777777778,0.0
model.layers.0.router.weight,40,0.27237772941589355,0.0510844849050045,0.8841729760169983,1.0154317617416382,0.0,0.2500000298023224,0.7708333134651184,0.7309027777777778,0.0
model.layers.0.router.weight,50,0.27250590920448303,0.051191847771406174,0.8842561841011047,1.015437364578247,0.0,0.25,0.7708333134651184,0.7291666666666666,0.0
model.layers.0.router.weight,60,0.27260884642601013,0.051278650760650635,0.8843207955360413,1.0154424905776978,0.0,0.25,0.7708333134651184,0.7274305555555555,0.0
model.layers.0.router.weight,70,0.27269402146339417,0.0513509102165699,0.8843724131584167,1.0154470205307007,0.0,0.2500000298023224,0.7708333134651184,0.7239583333333334,0.0
model.layers.0.router.weight,80,0.2727661728858948,0.05141241475939751,0.8844149708747864,1.015451431274414,0.0,0.25,0.7708333134651184,0.7239583333333334,0.0
model.layers.0.router.weight,90,0.2728283703327179,0.05146567150950432,0.8844507336616516,1.0154551267623901,0.0,0.25,0.7708333134651184,0.7239583333333334,0.0
model.layers.0.router.weight,100,0.2728828489780426,0.0515124686062336,0.8844814300537109,1.0154588222503662,0.0,0.2499999701976776,0.7708333134651184,0.7239583333333334,0.0
model.layers.0.router.weight,110,0.2729310691356659,0.051554083824157715,0.884507954120636,1.015462040901184,0.0,0.25,0.7708333134651184,0.7239583333333334,0.0
model.layers.0.router.weight,120,0.27297428250312805,0.051591452211141586,0.8845313191413879,1.0154651403427124,0.0,0.24999994039535522,0.7708333134651184,0.7230902777777778,0.0
