layer_id,expert_id,total_topk_fraction,dominant_source,original_weight_instruct,original_weight_coder,selected_weight_instruct,selected_weight_coder,selected_scale,audit_max_relative_delta_norm,selected_expected_max_relative_delta_norm,mechanism_risk_score,feature_delta_pressure,feature_router_instability,feature_load_pressure,feature_source_conflict,feature_low_route_mass,feature_expert_route_geometry,feature_expert_internal_geometry,feature_layer_geometry,feature_subspace_conflict,feature_subspace_route_conflict,feature_subspace_channel_angle,feature_subspace_chunk_delta,feature_subspace_uncovered_flag,subspace_conflict_score,subspace_route_weighted_conflict_score,subspace_recommended_relative_cap,subspace_extra_scale,subspace_action,worst_subspace_conflict_driver,layer_prior_coder_coefficient,geometry_combined_relative_delta,geometry_combined_cosine,route_geometry_risk_score,internal_geometry_risk_score,layer_route_geometry_risk_score,geometry_action,trust_risk_flags,tensor_pattern,tensor_rule
0,0,0.116096832058838,instruct,0.5887152819732412,0.2612847180267588,0.5887152819732412,0.2612847180267588,1.0,0.2731123553081956,0.2731123553081956,0.361200994584711,0.34467694248668196,0.018018016603006382,0.2333765512131884,0.6147875718276677,0.6569789921023597,0.4207294718787027,0.4014014504020108,0.533646036648916,0.4314787528541759,0.2967441934504934,0.7383695840835571,0.44096195899177715,0.0,0.4314787528541759,0.2967441934504934,0.65,1.0,identity_average_subspace_ok,chunk_delta_spike,1.0,1.0169424048526488,0.444640496307118,0.4207294718787027,0.4014014504020108,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.0\..*,".*layers\.0\..*experts\.0\..*::coder=0.261285,instruct=0.588715"
0,1,0.1534687074952296,instruct,0.6292644816793471,0.2207355183206529,0.6292644816793471,0.2207355183206529,1.0,0.2405271261440417,0.2405271261440417,0.42476310609178375,0.3035532915780503,0.018018016603006382,0.16647527319874178,0.5193776901662421,0.5415901178955158,0.5737302949640655,0.6605213612484936,0.533646036648916,0.7018821237601537,0.5251277967269165,1.0,0.5603113572642442,0.0,0.7018821237601537,0.5251277967269165,0.62,1.0,monitor_subspace_conflict_in_vllm_gate,low_channel_cosine,1.0,1.070772098984009,0.2823600148034494,0.5737302949640655,0.6605213612484936,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.1\..*,".*layers\.0\..*experts\.1\..*::coder=0.220736,instruct=0.629264"
0,2,0.114722902294683,instruct,0.65314308641446,0.1968569135855399,0.65314308641446,0.1968569135855399,1.0,0.2023936860414864,0.2023936860414864,0.3364659207751434,0.2554276125833535,0.018018016603006382,0.23493239488794349,0.46319273784832926,0.6612211182165536,0.4226437446450199,0.4071365964884955,0.533646036648916,0.4352771007169292,0.2983893825718809,0.7754247039556504,0.4101631937635147,0.0,0.4352771007169292,0.2983893825718809,0.65,1.0,identity_average_subspace_ok,low_channel_cosine,1.0,0.9991029475011998,0.4454877083834495,0.4226437446450199,0.4071365964884955,0.533646036648916,identity_average_geometry_ok,shared_mixed_expert,.*layers\.0\..*experts\.2\..*,".*layers\.0\..*experts\.2\..*::coder=0.196857,instruct=0.653143"
0,3,0.2524841095014548,instruct,0.700127571218501,0.1498724287814989,0.700127571218501,0.1498724287814989,1.0,0.159140282658745,0.159140282658745,0.38620578688665697,0.20084036839484776,0.018018016603006382,0.48769715189422597,0.3526410088976445,0.23587156261234143,0.5789775946439433,0.4458336315476858,0.533646036648916,0.4870092195591894,0.4423439413358345,0.8491159230470657,0.4989671111943485,0.0,0.4870092195591894,0.4423439413358345,0.65,1.0,identity_average_subspace_ok,low_channel_cosine,1.0,1.0018160015341957,0.4575139928592618,0.5789775946439433,0.4458336315476858,0.533646036648916,identity_average_geometry_ok,high_load_expert|shared_mixed_expert,.*layers\.0\..*experts\.3\..*,".*layers\.0\..*experts\.3\..*::coder=0.149872,instruct=0.700128"
0,4,0.022112887112887,instruct,0.6651965213462835,0.1848034786537165,0.6651965213462835,0.1848034786537165,1.0,0.181967564690576,0.181967564690576,0.2891048050938019,0.22964916310182448,0.018018016603006382,0.09801815150954006,0.4348317144793329,0.9471624917046043,0.3010905386488927,0.3415211678991042,0.533646036648916,0.3694703525897706,0.1979467972497355,0.7412205636501312,0.31904395054971296,0.0,0.3694703525897706,0.1979467972497355,0.65,1.0,identity_average_subspace_ok,low_channel_cosine,1.0,0.970665892403754,0.5020716436162824,0.3010905386488927,0.3415211678991042,0.533646036648916,identity_average_geometry_ok,,.*layers\.0\..*experts\.4\..*,".*layers\.0\..*experts\.4\..*::coder=0.184803,instruct=0.665197"
0,6,0.0104895104895104,instruct,0.4604166666666638,0.389583333333336,0.4604166666666638,0.389583333333336,1.0,0.4726987828423757,0.4726987828423757,0.5498094684487324,0.596561700782187,0.018018016603006382,0.03889609186886473,0.9166666666666732,0.9830506650272506,0.5039404975484232,0.7779927539059748,0.533646036648916,0.8187048475521418,0.4232395903476638,1.0,0.8278657162125237,0.0,0.8187048475521418,0.4232395903476638,0.6,1.0,lower_nonbase_weight_for_subspace_conflict,low_channel_cosine,1.0,1.1971618263189243,0.1836173576816197,0.5039404975484232,0.7779927539059748,0.533646036648916,cap_expert_delta_or_reduce_nonbase_weight,low_route_evidence,.*layers\.0\..*experts\.6\..*,".*layers\.0\..*experts\.6\..*::coder=0.389583,instruct=0.460417"
0,7,0.0576477366024777,instruct,0.6635724475899085,0.1864275524100914,0.6635724475899085,0.1864275524100914,1.0,0.1953359679555319,0.1953359679555319,0.3250118176713033,0.24652053590403364,0.018018016603006382,0.1166882756065942,0.4386530644943327,0.8374455928379037,0.3823425819051483,0.442780800631595,0.533646036648916,0.4733146980581704,0.2807801742376942,0.7947763353586197,0.44622425248705494,0.0,0.4733146980581704,0.2807801742376942,0.65,1.0,identity_average_subspace_ok,low_channel_cosine,1.0,1.0215901488289536,0.4176453099477769,0.3823425819051483,0.442780800631595,0.533646036648916,identity_average_geometry_ok,,.*layers\.0\..*experts\.7\..*,".*layers\.0\..*experts\.7\..*::coder=0.186428,instruct=0.663572"
0,8,0.0056818181818181,instruct,0.85,0.0,0.85,0.0,1.0,0.0,0.0,0.31066126308734443,0.0,0.018018016603006382,0.03889609186886473,0.0,0.9978948278218562,0.3868584587912838,0.5516030915113136,0.533646036648916,0.5868315121866022,0.2988075318344964,0.9999798163044034,0.4984203451540388,0.0,0.5868315121866022,0.2988075318344964,0.65,1.0,monitor_subspace_conflict_in_vllm_gate,low_channel_cosine,1.0,1.0388148383975393,0.3887691777580579,0.3868584587912838,0.5516030915113136,0.533646036648916,identity_average_geometry_ok,low_route_evidence,.*layers\.0\..*experts\.8\..*,".*layers\.0\..*experts\.8\..*::coder=0,instruct=0.85"
0,10,0.013284703801945,coder,0.0,0.85,0.0,0.636718433960832,0.7490805105421554,0.827914149791135,0.6201743540106179,0.4150529338735516,1.0,0.018018016603006382,0.0,0.0,0.9744202656762389,0.2832980869248952,0.3479454618412018,0.533646036648916,0.3550959460946118,0.1851762886272227,0.7003920078277588,0.29351843046810205,0.0,0.3550959460946118,0.1851762886272227,0.65,1.0,identity_average_subspace_ok,localized_channel_delta,1.0,0.9380946538115672,0.5128829253957505,0.2832980869248952,0.3479454618412018,0.533646036648916,identity_average_geometry_ok,delta_above_base_cap|low_route_evidence,.*layers\.0\..*experts\.10\..*,".*layers\.0\..*experts\.10\..*::coder=0.616006,instruct=0"
0,11,0.0422813204245696,instruct,0.7633472401841254,0.0866527598158745,0.7633472401841254,0.0866527598158745,1.0,0.0873145280115735,0.0873145280115735,0.26519508173512546,0.11019385965067613,0.018018016603006382,0.15558436747545895,0.20388884662558715,0.8848907221673257,0.3347009685376317,0.3644674848574895,0.533646036648916,0.4014552280233462,0.2281759942248745,0.7629573345184327,0.3634717960513138,0.0,0.4014552280233462,0.2281759942248745,0.65,1.0,identity_average_subspace_ok,low_channel_cosine,1.0,0.9752489362593352,0.4649190485693507,0.3347009685376317,0.3644674848574895,0.533646036648916,identity_average_geometry_ok,,.*layers\.0\..*experts\.11\..*,".*layers\.0\..*experts\.11\..*::coder=0.0866528,instruct=0.763347"
